purchase_id,customer_id,purchase_date,product_category,payment_method,purchase_amount,items_quantity,discount_applied,discount_amount
49,9,2024-09-26,Sports,Gift Card,311.97,3,True,32.79
50,679,2024-12-06,Books,PayPal,235.62,3,True,27.0
51,284,2024-10-11,Electronics,Debit Card,431.5,2,False,0.0
52,341,2024-08-06,Sports,Debit Card,19.69,9,True,40.74
53,611,2024-10-29,Sports,PayPal,262.17,4,True,8.79
54,142,2024-11-08,Beauty,PayPal,224.61,5,True,36.01
55,873,2024-10-22,Books,PayPal,91.6,4,True,21.9
56,513,2024-12-03,Clothing,PayPal,119.49,8,False,0.0
57,571,2024-10-27,Beauty,PayPal,449.15,3,False,0.0
58,190,2024-11-05,Sports,Gift Card,151.26,1,False,0.0
59,541,2024-07-27,Home & Garden,PayPal,93.9,10,False,0.0
60,519,2024-10-06,Beauty,PayPal,153.35,3,True,41.82
61,942,2024-08-14,Beauty,Credit Card,219.03,7,True,14.71
62,860,2024-09-16,Books,Credit Card,285.72,8,True,10.27
63,723,2024-10-11,Beauty,Credit Card,362.39,10,True,39.21
64,460,2024-11-15,Books,Gift Card,296.4,4,True,30.9
65,819,2024-06-16,Beauty,PayPal,29.01,4,False,0.0
66,77,2024-12-02,Beauty,PayPal,95.72,7,True,36.35
67,616,2024-06-26,Clothing,Debit Card,204.04,2,False,0.0
68,659,2024-07-26,Sports,PayPal,99.51,10,False,0.0
69,859,2024-08-05,Clothing,PayPal,406.07,7,True,47.93
70,447,2024-08-30,Sports,Credit Card,38.0,9,False,0.0
71,317,2024-10-10,Clothing,Debit Card,362.86,2,True,14.21
72,500,2024-12-05,Beauty,Gift Card,244.34,8,False,0.0
73,632,2024-07-30,Books,PayPal,351.68,8,False,0.0
74,708,2024-12-08,Electronics,Gift Card,157.62,8,True,36.88
75,245,2024-11-12,Sports,Debit Card,275.56,2,False,0.0
76,518,2024-06-21,Sports,Debit Card,12.26,1,False,0.0
77,30,2024-11-10,Books,Gift Card,337.64,1,False,0.0
78,373,2024-07-15,Electronics,Credit Card,136.32,3,False,0.0
79,755,2024-10-01,Clothing,PayPal,327.2,6,False,0.0
80,955,2024-10-23,Home & Garden,Credit Card,399.36,10,True,17.73
81,665,2024-07-09,Electronics,Credit Card,178.45,9,False,0.0
82,104,2024-09-20,Sports,Credit Card,207.61,8,False,0.0
83,511,2024-10-04,Sports,Gift Card,436.15,2,True,3.16
84,251,2024-08-24,Electronics,Debit Card,470.02,6,True,21.5
85,858,2024-11-29,Home & Garden,PayPal,130.89,7,True,29.1
86,342,2024-12-07,Beauty,Debit Card,238.75,3,False,0.0
87,319,2024-10-12,Home & Garden,PayPal,175.8,3,True,25.73
88,800,2024-08-17,Clothing,Debit Card,318.19,5,True,30.17
89,866,2024-11-24,Electronics,Credit Card,229.32,5,False,0.0
90,861,2024-09-07,Clothing,Gift Card,41.43,5,False,0.0
91,715,2024-08-09,Sports,Gift Card,311.28,8,True,31.76
92,296,2024-10-13,Beauty,Debit Card,495.96,2,False,0.0
93,606,2024-08-01,Home & Garden,Gift Card,285.87,5,True,48.29
94,20,2024-08-15,Electronics,Gift Card,12.97,5,False,0.0
95,473,2024-08-27,Home & Garden,Credit Card,416.98,2,False,0.0
96,182,2024-11-16,Clothing,Gift Card,351.13,5,False,0.0
97,843,2024-10-13,Books,Debit Card,253.28,8,False,0.0
98,854,2024-08-10,Beauty,Credit Card,469.02,2,True,22.2
99,667,2024-10-27,Electronics,Credit Card,448.78,3,True,16.85
100,342,2024-09-23,Electronics,Credit Card,79.6,1,False,0.0
101,13,2024-09-27,Home & Garden,PayPal,108.75,7,False,0.0
102,753,2024-11-25,Home & Garden,Gift Card,358.2,3,True,3.69
103,477,2024-08-07,Electronics,PayPal,19.13,10,False,0.0
104,621,2024-08-31,Beauty,Debit Card,474.82,3,False,0.0
105,182,2024-07-29,Books,Debit Card,437.93,6,False,0.0
106,174,2024-09-09,Clothing,PayPal,142.98,6,False,0.0
107,846,2024-09-12,Sports,Gift Card,259.65,2,False,0.0
108,203,2024-10-03,Books,Debit Card,59.05,1,True,15.65
109,367,2024-12-11,Electronics,Gift Card,147.45,10,True,2.19
110,338,2024-10-27,Electronics,PayPal,15.31,9,False,0.0
111,951,2024-12-08,Electronics,Credit Card,415.81,3,True,33.12
112,588,2024-10-27,Clothing,PayPal,382.65,3,True,2.55
113,799,2024-09-21,Books,Credit Card,52.36,9,False,0.0
114,710,2024-11-14,Clothing,Gift Card,37.79,2,True,3.49
115,595,2024-09-05,Electronics,Gift Card,252.57,6,True,36.93
116,169,2024-07-15,Books,Credit Card,300.28,10,True,10.44
117,888,2024-10-20,Sports,Gift Card,317.44,9,False,0.0
118,539,2024-12-09,Sports,Credit Card,314.27,2,True,45.35
119,230,2024-09-06,Books,Gift Card,121.35,7,False,0.0
120,749,2024-07-13,Electronics,Gift Card,217.44,1,True,31.23
121,443,2024-10-31,Sports,PayPal,275.81,6,True,1.48
122,191,2024-07-12,Electronics,Credit Card,41.51,10,False,0.0
123,743,2024-11-20,Clothing,Debit Card,325.59,1,True,8.57
124,30,2024-10-24,Home & Garden,Debit Card,495.83,10,True,26.21
125,967,2024-08-31,Sports,Credit Card,63.19,4,False,0.0
126,842,2024-10-30,Clothing,PayPal,335.03,1,False,0.0
127,596,2024-11-03,Clothing,Debit Card,248.07,8,True,31.53
128,714,2024-11-20,Beauty,Gift Card,117.19,9,True,3.42
129,949,2024-10-18,Books,Gift Card,459.73,1,True,47.82
130,324,2024-07-09,Sports,Debit Card,320.86,1,False,0.0
131,132,2024-07-27,Clothing,Credit Card,469.84,8,False,0.0
132,136,2024-10-11,Clothing,Gift Card,176.11,5,True,8.48
133,682,2024-11-18,Books,Gift Card,110.0,3,False,0.0
134,809,2024-10-03,Home & Garden,Debit Card,381.05,8,True,42.91
135,105,2024-09-12,Sports,Debit Card,99.98,9,True,8.7
136,738,2024-11-10,Beauty,Debit Card,333.9,5,True,6.3
137,420,2024-11-22,Clothing,PayPal,362.2,6,False,0.0
138,674,2024-09-09,Sports,Credit Card,368.24,7,False,0.0
139,77,2024-06-30,Clothing,Debit Card,374.55,7,False,0.0
140,174,2024-10-04,Electronics,PayPal,74.31,1,False,0.0
141,16,2024-08-26,Clothing,Gift Card,418.99,7,False,0.0
142,211,2024-08-10,Electronics,Gift Card,334.36,1,True,43.65
143,297,2024-09-27,Beauty,PayPal,107.52,7,False,0.0
144,574,2024-09-12,Sports,Debit Card,257.58,6,True,34.7
145,37,2024-11-08,Home & Garden,PayPal,125.59,5,False,0.0
146,438,2024-08-15,Electronics,Gift Card,198.68,10,True,30.24
147,137,2024-07-29,Home & Garden,Gift Card,420.55,6,False,0.0
148,584,2024-09-19,Home & Garden,PayPal,378.34,8,True,9.09
149,896,2024-12-08,Clothing,Debit Card,457.94,6,False,0.0
150,771,2024-10-05,Books,Gift Card,235.28,8,True,20.64
151,339,2024-06-23,Books,PayPal,395.92,8,True,42.04
152,660,2024-07-02,Sports,Credit Card,35.26,5,True,20.94
153,332,2024-09-26,Sports,Debit Card,148.5,8,True,44.58
154,772,2024-06-20,Books,Gift Card,328.97,9,True,25.34
155,751,2024-10-25,Sports,Gift Card,465.39,10,False,0.0
156,857,2024-11-30,Electronics,Credit Card,70.49,4,False,0.0
157,157,2024-12-03,Books,Gift Card,347.21,9,True,40.5
158,626,2024-10-25,Home & Garden,Debit Card,198.99,2,True,43.45
159,81,2024-11-02,Home & Garden,Credit Card,91.9,9,True,16.79
160,766,2024-08-27,Clothing,Debit Card,65.52,4,False,0.0
161,910,2024-11-27,Books,Gift Card,123.08,6,False,0.0
162,988,2024-11-17,Electronics,Debit Card,452.69,2,True,9.51
163,107,2024-07-17,Electronics,PayPal,209.41,4,False,0.0
164,193,2024-12-10,Beauty,PayPal,374.18,8,False,0.0
165,351,2024-08-13,Home & Garden,Credit Card,293.51,3,True,39.73
166,197,2024-07-30,Books,Credit Card,107.67,9,True,30.59
167,653,2024-07-25,Books,Credit Card,181.09,5,True,5.23
168,596,2024-07-31,Books,Gift Card,473.06,9,True,19.45
169,902,2024-07-24,Sports,Debit Card,84.63,10,False,0.0
170,859,2024-11-05,Sports,Gift Card,91.29,6,False,0.0
171,449,2024-07-08,Books,PayPal,36.29,6,True,12.07
172,957,2024-08-23,Sports,Debit Card,302.33,2,True,37.7
173,787,2024-07-15,Clothing,Debit Card,153.05,9,False,0.0
174,930,2024-11-05,Books,Credit Card,341.61,6,False,0.0
175,577,2024-11-29,Home & Garden,Credit Card,29.25,2,True,26.6
176,833,2024-09-27,Clothing,Credit Card,394.37,9,False,0.0
177,593,2024-08-31,Home & Garden,PayPal,399.61,4,True,4.34
178,887,2024-11-25,Clothing,Credit Card,392.57,6,False,0.0
179,453,2024-10-30,Electronics,Debit Card,435.88,8,False,0.0
180,415,2024-11-26,Electronics,Debit Card,434.31,10,False,0.0
181,312,2024-10-12,Beauty,Gift Card,164.42,2,False,0.0
182,980,2024-06-30,Beauty,Debit Card,254.59,2,True,45.37
183,256,2024-09-30,Electronics,Gift Card,160.88,1,True,13.78
184,480,2024-11-13,Books,Credit Card,81.16,4,True,32.62
185,613,2024-08-17,Beauty,Debit Card,400.0,3,True,39.67
186,712,2024-11-13,Sports,Credit Card,425.46,4,True,29.13
187,605,2024-07-29,Electronics,Gift Card,272.84,9,True,32.4
188,718,2024-11-08,Electronics,Debit Card,425.28,3,True,26.63
189,867,2024-12-01,Clothing,Credit Card,221.89,6,False,0.0
190,25,2024-11-23,Electronics,Debit Card,265.14,2,True,24.12
191,289,2024-06-24,Electronics,PayPal,410.68,2,True,44.28
192,800,2024-12-06,Electronics,Debit Card,242.71,1,True,46.81
193,369,2024-11-27,Clothing,PayPal,203.69,3,False,0.0
194,38,2024-08-09,Electronics,Gift Card,477.22,5,False,0.0
195,204,2024-09-10,Clothing,Debit Card,59.94,1,False,0.0
196,760,2024-07-28,Home & Garden,PayPal,375.25,7,True,36.16
197,667,2024-09-28,Books,PayPal,495.91,5,True,5.13
198,874,2024-11-20,Home & Garden,Credit Card,87.8,9,True,21.06
199,493,2024-09-18,Books,Gift Card,219.37,10,False,0.0
200,244,2024-09-05,Sports,Debit Card,166.66,7,True,46.12
201,435,2024-08-20,Clothing,Gift Card,350.91,9,False,0.0
202,514,2024-11-02,Clothing,Debit Card,498.39,9,False,0.0
203,682,2024-11-08,Home & Garden,PayPal,222.96,6,False,0.0
204,218,2024-09-03,Books,PayPal,237.9,6,True,18.89
205,710,2024-07-21,Books,Credit Card,100.7,2,False,0.0
206,937,2024-10-29,Home & Garden,Credit Card,387.43,2,True,22.08
207,184,2024-12-06,Clothing,Credit Card,170.07,10,True,5.7
208,45,2024-08-18,Sports,Gift Card,437.43,7,True,16.93
209,592,2024-11-29,Clothing,Debit Card,74.99,2,True,20.21
210,649,2024-07-13,Beauty,Debit Card,56.92,8,False,0.0
211,384,2024-09-12,Sports,PayPal,211.0,8,True,22.43
212,642,2024-08-01,Home & Garden,Credit Card,425.99,5,True,28.21
213,776,2024-06-16,Beauty,Credit Card,317.42,3,True,19.86
214,536,2024-07-02,Books,Debit Card,179.16,1,True,20.59
215,317,2024-10-11,Clothing,Gift Card,431.55,10,False,0.0
216,913,2024-08-25,Home & Garden,Credit Card,224.06,4,False,0.0
217,495,2024-08-31,Sports,PayPal,494.16,4,False,0.0
218,745,2024-10-28,Electronics,Debit Card,298.19,7,True,1.26
219,595,2024-10-24,Beauty,Debit Card,177.17,4,True,2.39
220,560,2024-07-30,Clothing,Gift Card,171.54,3,False,0.0
221,304,2024-06-28,Electronics,PayPal,393.1,3,True,45.77
222,427,2024-09-23,Home & Garden,PayPal,412.29,5,True,6.24
223,773,2024-06-30,Sports,Credit Card,336.54,2,False,0.0
224,293,2024-09-23,Books,Debit Card,276.4,3,True,46.59
225,294,2024-09-13,Electronics,Debit Card,327.58,6,True,20.92
226,660,2024-11-06,Home & Garden,Credit Card,444.57,1,True,36.69
227,950,2024-06-21,Books,PayPal,140.24,5,False,0.0
228,723,2024-07-22,Home & Garden,Debit Card,42.5,9,False,0.0
229,793,2024-11-08,Clothing,PayPal,129.39,8,False,0.0
230,119,2024-09-14,Electronics,Debit Card,184.67,5,False,0.0
231,502,2024-09-14,Electronics,PayPal,474.43,5,True,11.77
232,151,2024-10-13,Beauty,PayPal,461.08,5,False,0.0
233,680,2024-07-15,Books,Debit Card,40.07,5,False,0.0
234,950,2024-08-17,Sports,Credit Card,33.93,10,False,0.0
235,572,2024-11-14,Beauty,Debit Card,128.62,5,False,0.0
236,457,2024-07-25,Sports,Credit Card,292.1,7,True,25.94
237,709,2024-06-20,Beauty,Credit Card,282.65,10,False,0.0
238,410,2024-08-18,Home & Garden,PayPal,427.14,6,False,0.0
239,611,2024-06-23,Clothing,Credit Card,334.71,3,True,41.02
240,965,2024-10-08,Books,PayPal,367.09,6,True,15.93
241,526,2024-12-06,Beauty,Gift Card,75.52,2,False,0.0
242,642,2024-09-11,Electronics,Debit Card,127.42,3,False,0.0
243,512,2024-08-27,Home & Garden,Debit Card,54.72,5,False,0.0
244,798,2024-08-23,Beauty,Credit Card,283.79,5,True,46.61
245,223,2024-09-20,Books,PayPal,52.95,4,True,19.41
246,921,2024-06-28,Sports,Credit Card,410.03,2,True,9.27
247,437,2024-10-25,Sports,Credit Card,82.2,7,False,0.0
248,271,2024-09-14,Home & Garden,PayPal,271.87,10,False,0.0
249,229,2024-08-12,Home & Garden,Debit Card,173.77,2,True,19.89
250,268,2024-06-20,Home & Garden,PayPal,403.87,5,False,0.0
251,832,2024-10-17,Electronics,Credit Card,268.92,2,True,0.89
252,535,2024-12-10,Beauty,PayPal,439.21,10,True,44.78
253,340,2024-09-10,Beauty,Credit Card,317.15,5,False,0.0
254,933,2024-10-20,Electronics,PayPal,340.63,2,False,0.0
255,505,2024-12-09,Home & Garden,Debit Card,97.01,10,True,30.69
256,262,2024-11-05,Electronics,PayPal,287.23,10,True,1.12
257,149,2024-10-09,Electronics,Credit Card,159.04,9,False,0.0
258,816,2024-12-09,Beauty,Debit Card,253.77,2,False,0.0
259,375,2024-11-17,Electronics,PayPal,392.86,1,True,29.27
260,541,2024-09-08,Books,Credit Card,423.42,9,False,0.0
261,909,2024-09-02,Beauty,PayPal,470.19,7,False,0.0
262,607,2024-09-30,Clothing,PayPal,128.64,10,False,0.0
263,710,2024-07-29,Electronics,Debit Card,317.52,2,False,0.0
264,45,2024-06-16,Electronics,Gift Card,405.16,10,True,1.21
265,458,2024-09-28,Sports,PayPal,191.46,6,False,0.0
266,948,2024-10-19,Sports,Credit Card,491.94,9,True,0.3
267,80,2024-09-30,Clothing,Gift Card,289.27,8,False,0.0
268,761,2024-09-29,Sports,Debit Card,248.01,3,False,0.0
269,786,2024-11-07,Books,Credit Card,56.51,1,True,34.74
270,471,2024-10-23,Books,PayPal,175.77,3,True,34.41
271,824,2024-12-03,Electronics,Gift Card,124.97,1,True,24.54
272,524,2024-08-28,Beauty,Credit Card,481.21,10,True,42.17
273,120,2024-11-01,Sports,Debit Card,208.18,5,True,14.0
274,789,2024-11-19,Electronics,Gift Card,378.74,4,False,0.0
275,675,2024-12-03,Home & Garden,Credit Card,416.26,7,True,8.8
276,324,2024-06-26,Electronics,Debit Card,234.6,8,False,0.0
277,354,2024-06-17,Sports,Gift Card,119.59,7,False,0.0
278,764,2024-06-26,Beauty,PayPal,425.58,6,False,0.0
279,975,2024-11-12,Electronics,Gift Card,50.7,8,False,0.0
280,415,2024-12-01,Home & Garden,Debit Card,301.07,4,False,0.0
281,23,2024-11-07,Electronics,Debit Card,393.04,2,True,7.52
282,236,2024-10-07,Beauty,Gift Card,55.85,6,True,3.57
283,960,2024-07-23,Sports,Credit Card,301.22,3,True,0.39
284,988,2024-11-22,Electronics,PayPal,205.49,10,True,28.87
285,563,2024-07-19,Sports,Credit Card,373.36,1,False,0.0
286,557,2024-06-29,Sports,PayPal,451.47,5,False,0.0
287,289,2024-09-09,Clothing,Debit Card,231.65,1,True,5.82
288,780,2024-06-17,Beauty,Debit Card,31.44,9,True,47.23
289,94,2024-11-21,Sports,Debit Card,243.08,1,False,0.0
290,955,2024-07-23,Books,PayPal,321.57,3,True,5.81
291,41,2024-10-23,Home & Garden,Debit Card,474.77,4,True,32.88
292,320,2024-08-21,Beauty,Credit Card,40.88,6,False,0.0
293,990,2024-11-05,Clothing,Debit Card,19.79,1,True,34.78
294,101,2024-11-21,Clothing,Gift Card,161.89,10,True,47.78
295,399,2024-10-12,Books,Gift Card,294.94,1,False,0.0
296,932,2024-09-21,Books,Debit Card,212.94,5,False,0.0
297,170,2024-11-29,Sports,PayPal,150.43,2,False,0.0
298,61,2024-11-03,Beauty,PayPal,369.81,5,True,8.09
299,577,2024-10-22,Clothing,Debit Card,40.36,5,True,9.5
300,22,2024-11-15,Beauty,Gift Card,450.66,8,False,0.0
301,948,2024-06-30,Books,PayPal,116.06,5,False,0.0
302,523,2024-07-30,Sports,Credit Card,450.59,2,False,0.0
303,902,2024-11-18,Electronics,Credit Card,132.68,7,True,17.05
304,751,2024-06-26,Beauty,Gift Card,355.45,9,False,0.0
305,530,2024-07-10,Books,PayPal,101.3,4,False,0.0
306,462,2024-06-16,Home & Garden,Credit Card,106.35,8,False,0.0
307,643,2024-10-09,Home & Garden,PayPal,292.9,10,False,0.0
308,509,2024-10-13,Sports,PayPal,65.08,10,False,0.0
309,611,2024-06-30,Books,PayPal,433.24,3,True,25.05
310,772,2024-06-19,Clothing,PayPal,390.17,7,False,0.0
311,78,2024-07-28,Electronics,PayPal,428.63,1,False,0.0
312,519,2024-07-11,Books,PayPal,228.92,9,False,0.0
313,761,2024-08-26,Beauty,Debit Card,324.29,6,True,12.97
314,329,2024-12-06,Beauty,Debit Card,109.48,6,False,0.0
315,550,2024-09-22,Books,Debit Card,271.83,7,True,26.45
316,603,2024-09-25,Sports,Debit Card,367.85,1,False,0.0
317,680,2024-06-24,Home & Garden,Debit Card,17.04,6,False,0.0
318,976,2024-10-29,Books,Credit Card,98.58,5,False,0.0
319,270,2024-12-03,Beauty,Debit Card,201.51,4,False,0.0
320,244,2024-09-20,Home & Garden,Debit Card,229.08,7,True,22.96
321,859,2024-11-07,Books,PayPal,131.02,1,True,17.61
322,32,2024-09-05,Sports,PayPal,319.75,3,True,14.15
323,188,2024-07-16,Electronics,PayPal,61.85,4,True,38.96
324,988,2024-08-12,Beauty,Debit Card,223.36,2,False,0.0
325,833,2024-08-17,Beauty,Debit Card,288.66,10,False,0.0
326,492,2024-11-20,Home & Garden,PayPal,213.32,4,False,0.0
327,899,2024-10-29,Home & Garden,PayPal,84.06,3,True,12.34
328,464,2024-07-26,Sports,Debit Card,331.58,3,False,0.0
329,686,2024-08-24,Home & Garden,PayPal,278.84,7,True,11.64
330,822,2024-06-30,Beauty,Gift Card,291.79,3,True,17.58
331,511,2024-12-12,Home & Garden,Credit Card,101.14,4,True,13.88
332,561,2024-09-28,Electronics,Credit Card,436.1,6,False,0.0
333,489,2024-09-16,Books,Gift Card,214.31,10,True,32.38
334,5,2024-11-29,Sports,PayPal,303.95,1,False,0.0
335,409,2024-11-08,Home & Garden,PayPal,111.67,8,False,0.0
336,258,2024-06-17,Electronics,PayPal,496.19,2,True,23.31
337,214,2024-06-22,Electronics,PayPal,249.44,2,False,0.0
338,585,2024-10-03,Home & Garden,Gift Card,354.06,6,False,0.0
339,385,2024-10-22,Clothing,PayPal,109.63,2,True,18.35
340,366,2024-10-12,Sports,PayPal,416.98,7,False,0.0
341,121,2024-08-08,Beauty,Debit Card,168.9,7,False,0.0
342,585,2024-08-10,Home & Garden,PayPal,361.73,5,False,0.0
343,231,2024-09-25,Electronics,PayPal,496.81,3,True,5.84
344,766,2024-11-04,Home & Garden,Credit Card,261.44,6,True,42.03
345,889,2024-09-22,Sports,Credit Card,250.41,7,False,0.0
346,332,2024-10-31,Clothing,Credit Card,284.82,8,False,0.0
347,990,2024-06-19,Books,PayPal,144.51,10,True,6.68
348,170,2024-07-02,Electronics,Gift Card,475.15,6,True,21.4
349,605,2024-10-20,Electronics,Gift Card,358.68,10,False,0.0
350,67,2024-12-08,Electronics,Credit Card,78.23,3,False,0.0
351,674,2024-09-04,Clothing,PayPal,329.39,2,False,0.0
352,567,2024-12-02,Clothing,Debit Card,478.21,6,False,0.0
353,831,2024-11-14,Home & Garden,Credit Card,287.12,10,False,0.0
354,549,2024-12-05,Sports,Debit Card,329.03,7,False,0.0
355,451,2024-07-07,Beauty,Debit Card,332.74,2,True,6.33
356,833,2024-11-20,Electronics,Credit Card,233.02,7,False,0.0
357,8,2024-08-05,Sports,Gift Card,422.59,9,True,49.98
358,156,2024-06-18,Electronics,PayPal,440.41,7,True,4.53
359,861,2024-06-19,Sports,PayPal,214.65,7,True,47.37
360,115,2024-07-04,Electronics,Gift Card,252.67,2,True,16.12
361,187,2024-09-16,Electronics,Debit Card,442.23,6,True,43.22
362,681,2024-07-08,Sports,Debit Card,132.48,8,True,38.74
363,175,2024-08-17,Beauty,Credit Card,363.69,7,False,0.0
364,109,2024-08-12,Sports,Debit Card,374.3,4,False,0.0
365,448,2024-07-29,Clothing,Credit Card,357.45,10,True,37.99
366,358,2024-07-14,Beauty,Gift Card,175.73,5,False,0.0
367,892,2024-12-02,Books,Gift Card,488.23,5,False,0.0
368,932,2024-08-01,Home & Garden,Debit Card,123.56,1,False,0.0
369,35,2024-08-26,Home & Garden,Credit Card,317.75,10,True,23.31
370,55,2024-07-27,Beauty,Credit Card,446.62,3,True,2.02
371,15,2024-12-06,Electronics,Debit Card,13.96,7,True,17.25
372,355,2024-07-06,Books,Gift Card,436.54,1,False,0.0
373,409,2024-11-06,Clothing,Credit Card,124.82,10,True,30.78
374,456,2024-12-11,Electronics,Debit Card,304.92,6,False,0.0
375,819,2024-09-02,Books,Gift Card,419.43,9,True,34.81
376,39,2024-07-19,Clothing,Debit Card,245.19,8,False,0.0
377,968,2024-10-15,Sports,PayPal,140.63,3,True,5.55
378,779,2024-08-24,Electronics,PayPal,431.57,10,False,0.0
379,883,2024-07-10,Clothing,Credit Card,91.88,3,False,0.0
380,618,2024-09-02,Sports,Gift Card,236.33,7,True,8.76
381,605,2024-11-05,Clothing,Gift Card,228.33,10,True,9.65
382,569,2024-11-22,Sports,Credit Card,108.39,5,True,31.8
383,644,2024-07-09,Sports,Gift Card,71.49,4,False,0.0
384,542,2024-08-12,Sports,PayPal,461.03,3,False,0.0
385,857,2024-11-26,Home & Garden,Credit Card,303.97,6,False,0.0
386,695,2024-07-28,Books,Credit Card,219.22,2,False,0.0
387,379,2024-07-07,Sports,Debit Card,312.12,2,False,0.0
388,391,2024-12-01,Electronics,Debit Card,382.84,3,True,4.07
389,426,2024-10-20,Electronics,Debit Card,100.05,6,False,0.0
390,480,2024-08-24,Beauty,Credit Card,472.17,3,True,46.92
391,162,2024-06-23,Electronics,Gift Card,32.55,3,True,35.74
392,201,2024-11-02,Books,Debit Card,23.66,9,True,23.0
393,193,2024-10-02,Electronics,Debit Card,280.57,7,True,30.08
394,269,2024-07-10,Electronics,PayPal,210.36,8,True,31.66
395,446,2024-08-18,Electronics,Debit Card,152.83,4,True,41.38
396,90,2024-07-05,Clothing,Gift Card,316.66,7,True,0.5
397,957,2024-11-09,Home & Garden,Debit Card,11.74,7,False,0.0
398,958,2024-06-17,Home & Garden,Gift Card,217.04,2,True,22.63
399,271,2024-11-24,Beauty,Credit Card,361.76,9,False,0.0
400,127,2024-11-11,Beauty,Gift Card,307.01,2,False,0.0
401,736,2024-07-29,Clothing,Credit Card,344.63,4,False,0.0
402,112,2024-09-15,Home & Garden,PayPal,117.6,5,True,4.93
403,834,2024-11-28,Clothing,PayPal,237.36,9,True,38.49
404,815,2024-09-16,Beauty,Credit Card,75.57,7,False,0.0
405,210,2024-09-04,Home & Garden,PayPal,281.13,4,True,8.27
406,578,2024-08-17,Clothing,Gift Card,84.29,6,True,13.18
407,114,2024-06-18,Clothing,PayPal,22.93,7,False,0.0
408,567,2024-11-07,Sports,Debit Card,417.86,3,False,0.0
409,972,2024-09-03,Clothing,Credit Card,113.16,5,True,19.93
410,960,2024-10-31,Home & Garden,PayPal,237.51,8,True,42.88
411,810,2024-10-06,Beauty,Debit Card,338.77,1,True,31.62
412,69,2024-09-18,Books,PayPal,408.4,4,True,41.45
413,438,2024-12-10,Clothing,Gift Card,435.54,5,False,0.0
414,448,2024-12-05,Sports,Debit Card,229.39,9,False,0.0
