customer_id,loyalty_points,tier,points_earned_ytd,points_redeemed_ytd,last_reward_date,tier_benefits,remaining_points
61,1663,Gold,2131,492,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",3302
62,9841,Platinum,255,2836,2024-10-21,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",7260
63,9395,Platinum,2294,1217,2024-09-22,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",10472
64,8425,Platinum,2838,225,2024-12-05,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",11038
65,6486,Silver,901,1718,2024-10-19,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5669
66,3479,Gold,4117,1794,2024-11-29,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",5802
67,5182,Gold,3384,1500,2024-10-01,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",7066
68,6322,Platinum,1535,1390,2024-10-21,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6467
69,4362,Bronze,2821,390,,"['Basic Support', 'Birthday Reward']",6793
70,5794,Silver,1727,2051,2024-11-22,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5470
71,5184,Platinum,4188,1737,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",7635
72,5510,Bronze,3751,1723,2024-10-25,"['Basic Support', 'Birthday Reward']",7538
73,1612,Bronze,660,1831,,"['Basic Support', 'Birthday Reward']",441
74,6694,Platinum,2152,1696,2024-10-02,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",7150
75,5919,Platinum,1471,49,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",7341
76,416,Platinum,4926,2553,2024-12-01,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",2789
77,3762,Bronze,1552,1134,2024-12-06,"['Basic Support', 'Birthday Reward']",4180
78,3883,Gold,1061,93,2024-09-15,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4851
79,3466,Platinum,3424,2978,2024-11-24,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3912
80,4437,Silver,3851,1082,2024-11-02,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7206
81,7758,Silver,2126,966,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",8918
82,5707,Silver,3260,556,2024-10-08,"['Priority Support', 'Free Shipping', 'Birthday Reward']",8411
83,4118,Silver,2844,876,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6086
84,7166,Silver,4526,73,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",11619
85,3865,Gold,340,1326,2024-11-10,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",2879
86,5101,Bronze,1577,286,2024-11-05,"['Basic Support', 'Birthday Reward']",6392
87,4890,Platinum,2782,2223,2024-11-05,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5449
88,7839,Silver,4012,1218,2024-10-16,"['Priority Support', 'Free Shipping', 'Birthday Reward']",10633
89,9552,Silver,822,2005,2024-09-17,"['Priority Support', 'Free Shipping', 'Birthday Reward']",8369
90,449,Silver,714,2116,2024-10-04,"['Priority Support', 'Free Shipping', 'Birthday Reward']",-953
91,3241,Bronze,485,188,2024-10-06,"['Basic Support', 'Birthday Reward']",3538
92,4220,Silver,3359,2696,2024-10-12,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4883
93,7144,Platinum,717,1867,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5994
94,8620,Silver,4256,1552,2024-11-14,"['Priority Support', 'Free Shipping', 'Birthday Reward']",11324
95,8149,Platinum,1816,1841,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8124
96,8214,Platinum,3973,1386,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",10801
97,7364,Platinum,2031,1960,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",7435
98,1046,Gold,2144,390,2024-09-19,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",2800
99,1402,Bronze,1575,437,,"['Basic Support', 'Birthday Reward']",2540
100,8380,Platinum,1901,708,2024-10-07,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",9573
101,6938,Gold,1035,299,2024-11-10,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",7674
102,5745,Gold,1169,2810,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4104
103,666,Bronze,4587,878,2024-10-24,"['Basic Support', 'Birthday Reward']",4375
104,8737,Platinum,75,439,2024-10-17,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8373
105,1835,Platinum,4732,1006,2024-12-03,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5561
106,2702,Platinum,2445,1125,2024-11-25,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4022
107,4131,Bronze,4859,748,,"['Basic Support', 'Birthday Reward']",8242
108,681,Platinum,2654,2452,2024-11-26,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",883
109,5148,Bronze,1804,1696,,"['Basic Support', 'Birthday Reward']",5256
110,8336,Platinum,4756,2042,2024-11-01,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",11050
111,148,Bronze,2616,2118,2024-10-26,"['Basic Support', 'Birthday Reward']",646
112,3783,Silver,1930,1697,2024-12-05,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4016
113,6354,Bronze,2982,666,2024-11-11,"['Basic Support', 'Birthday Reward']",8670
114,4724,Silver,2027,1598,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5153
115,2428,Bronze,3478,2748,2024-09-17,"['Basic Support', 'Birthday Reward']",3158
116,8736,Platinum,2240,2034,2024-10-11,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8942
117,9490,Bronze,1179,2617,2024-10-31,"['Basic Support', 'Birthday Reward']",8052
118,8559,Platinum,3858,420,2024-11-17,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",11997
119,5972,Platinum,4524,1462,2024-10-10,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",9034
120,5044,Gold,37,52,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",5029
121,2648,Platinum,1769,454,2024-11-23,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3963
122,8304,Bronze,2148,258,2024-12-07,"['Basic Support', 'Birthday Reward']",10194
123,6823,Gold,1755,1478,2024-09-25,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",7100
124,7553,Gold,3940,2516,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",8977
125,2323,Silver,3699,2039,2024-11-15,"['Priority Support', 'Free Shipping', 'Birthday Reward']",3983
126,414,Gold,2897,953,2024-12-01,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",2358
127,5254,Platinum,2152,2577,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4829
128,6613,Gold,3642,2455,2024-11-06,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",7800
129,1079,Bronze,368,181,,"['Basic Support', 'Birthday Reward']",1266
130,1656,Platinum,1018,1100,2024-11-26,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",1574
131,2643,Gold,1198,1795,2024-10-10,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",2046
132,4918,Gold,2171,691,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6398
133,3015,Gold,2551,1394,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4172
134,5451,Bronze,574,1081,,"['Basic Support', 'Birthday Reward']",4944
135,7798,Platinum,701,605,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",7894
136,2936,Silver,1693,9,2024-11-20,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4620
137,1538,Gold,1501,1428,2024-11-18,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",1611
138,8929,Bronze,4042,1321,2024-11-11,"['Basic Support', 'Birthday Reward']",11650
139,406,Silver,4600,1276,2024-10-01,"['Priority Support', 'Free Shipping', 'Birthday Reward']",3730
140,3914,Gold,2819,2282,2024-11-09,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4451
141,5262,Platinum,2850,2586,2024-10-17,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5526
142,9131,Gold,4711,2438,2024-11-26,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",11404
143,1685,Silver,3721,905,2024-09-20,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4501
144,8236,Bronze,2835,16,2024-10-27,"['Basic Support', 'Birthday Reward']",11055
145,6468,Bronze,1169,884,2024-11-07,"['Basic Support', 'Birthday Reward']",6753
146,6974,Platinum,1983,2618,2024-11-10,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6339
147,2152,Bronze,1909,1992,2024-10-16,"['Basic Support', 'Birthday Reward']",2069
148,1749,Platinum,2532,718,2024-10-03,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3563
149,2543,Gold,4383,661,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6265
150,2472,Gold,4736,2275,2024-10-07,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4933
151,9337,Silver,4366,2969,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",10734
152,2584,Gold,753,1738,2024-10-07,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",1599
153,790,Platinum,584,1925,2024-11-03,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",-551
154,138,Silver,3456,404,2024-11-12,"['Priority Support', 'Free Shipping', 'Birthday Reward']",3190
155,581,Silver,3967,1978,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",2570
156,5013,Platinum,1890,2389,2024-09-27,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4514
157,164,Platinum,622,1995,2024-12-12,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",-1209
158,5312,Bronze,3699,904,2024-09-25,"['Basic Support', 'Birthday Reward']",8107
159,589,Bronze,264,2888,2024-10-24,"['Basic Support', 'Birthday Reward']",-2035
160,2492,Silver,662,1230,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",1924
161,8252,Platinum,2241,278,2024-10-17,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",10215
162,5664,Silver,3301,2931,2024-09-17,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6034
163,5620,Gold,655,1574,2024-11-02,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4701
164,5385,Silver,1697,2220,2024-10-19,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4862
165,2707,Gold,4823,2912,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4618
166,8803,Gold,2983,2688,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",9098
167,139,Bronze,2956,1342,2024-12-05,"['Basic Support', 'Birthday Reward']",1753
168,8425,Platinum,750,1403,2024-10-26,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",7772
169,4383,Bronze,2076,2506,2024-10-11,"['Basic Support', 'Birthday Reward']",3953
170,2209,Gold,3595,1335,2024-11-22,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4469
171,264,Gold,1667,1544,2024-10-20,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",387
172,806,Platinum,4601,1266,2024-10-15,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4141
173,1146,Silver,353,2284,2024-11-28,"['Priority Support', 'Free Shipping', 'Birthday Reward']",-785
174,8360,Bronze,3155,1055,,"['Basic Support', 'Birthday Reward']",10460
175,288,Bronze,2020,2091,,"['Basic Support', 'Birthday Reward']",217
176,5845,Silver,4417,71,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",10191
177,2978,Gold,140,2586,2024-12-08,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",532
178,6271,Bronze,2148,213,2024-11-16,"['Basic Support', 'Birthday Reward']",8206
179,2785,Bronze,1064,1093,2024-11-29,"['Basic Support', 'Birthday Reward']",2756
180,6990,Gold,3978,1899,2024-09-22,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",9069
181,213,Platinum,4389,1119,2024-10-01,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3483
182,4046,Gold,3929,1521,2024-12-10,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6454
183,8882,Platinum,503,1347,2024-10-13,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8038
184,5984,Platinum,990,747,2024-10-02,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6227
185,1517,Silver,3131,2338,2024-09-27,"['Priority Support', 'Free Shipping', 'Birthday Reward']",2310
186,5605,Silver,4471,1709,2024-11-13,"['Priority Support', 'Free Shipping', 'Birthday Reward']",8367
187,2038,Bronze,1839,1385,,"['Basic Support', 'Birthday Reward']",2492
188,3192,Silver,997,665,2024-11-11,"['Priority Support', 'Free Shipping', 'Birthday Reward']",3524
189,9343,Gold,2848,580,2024-10-09,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",11611
190,303,Silver,2720,727,2024-10-05,"['Priority Support', 'Free Shipping', 'Birthday Reward']",2296
191,5301,Silver,1196,1915,2024-09-24,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4582
192,9589,Platinum,169,422,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",9336
193,4290,Gold,2864,1700,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",5454
194,2540,Bronze,756,2292,2024-11-21,"['Basic Support', 'Birthday Reward']",1004
195,2403,Platinum,4446,1376,2024-10-24,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5473
196,9428,Bronze,3709,650,,"['Basic Support', 'Birthday Reward']",12487
197,6577,Platinum,468,1045,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6000
198,4240,Platinum,1139,1525,2024-11-27,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3854
199,3781,Bronze,4428,1169,2024-11-27,"['Basic Support', 'Birthday Reward']",7040
200,5294,Platinum,1287,380,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6201
201,950,Platinum,839,2022,2024-10-05,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",-233
202,361,Gold,544,2055,2024-11-16,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",-1150
203,5517,Bronze,91,1666,2024-09-15,"['Basic Support', 'Birthday Reward']",3942
204,5305,Bronze,2011,2128,,"['Basic Support', 'Birthday Reward']",5188
205,1268,Bronze,4948,2640,,"['Basic Support', 'Birthday Reward']",3576
206,3757,Silver,3336,2398,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4695
207,4266,Platinum,2072,2758,2024-11-11,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3580
208,9296,Platinum,1031,1641,2024-11-19,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8686
209,5121,Gold,808,291,2024-11-17,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",5638
210,5147,Gold,4396,312,2024-12-05,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",9231
211,2053,Silver,522,279,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",2296
212,6081,Silver,2836,1736,2024-10-27,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7181
213,2548,Platinum,2562,285,2024-09-25,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4825
214,8332,Gold,3737,1406,2024-11-10,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10663
215,8744,Gold,4060,2266,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10538
216,9436,Gold,289,457,2024-10-30,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",9268
217,7421,Platinum,3482,55,2024-12-09,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",10848
218,7252,Silver,69,1799,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5522
219,8706,Bronze,2549,2190,,"['Basic Support', 'Birthday Reward']",9065
220,3387,Silver,2951,1489,2024-09-24,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4849
221,8501,Silver,3210,947,2024-10-23,"['Priority Support', 'Free Shipping', 'Birthday Reward']",10764
222,3943,Gold,1282,351,2024-09-16,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4874
223,2999,Silver,2950,930,2024-11-12,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5019
224,5189,Gold,2571,241,2024-11-04,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",7519
225,9387,Platinum,3760,444,2024-09-26,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",12703
226,3930,Gold,4095,2980,2024-11-14,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",5045
227,87,Gold,3416,2906,2024-10-08,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",597
228,9494,Silver,1461,594,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",10361
229,3651,Silver,2181,243,2024-09-23,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5589
230,4829,Gold,1890,244,2024-10-26,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6475
231,5662,Gold,3401,48,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",9015
232,8108,Platinum,4284,2933,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",9459
233,4482,Gold,4541,747,2024-12-12,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",8276
234,8794,Bronze,4093,2486,2024-10-12,"['Basic Support', 'Birthday Reward']",10401
235,8219,Silver,2150,2178,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",8191
236,412,Silver,4575,148,2024-12-01,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4839
237,7211,Bronze,352,103,2024-11-04,"['Basic Support', 'Birthday Reward']",7460
238,3164,Gold,4988,1796,2024-09-29,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6356
239,8192,Platinum,2682,1918,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8956
240,3600,Bronze,1308,2489,2024-12-05,"['Basic Support', 'Birthday Reward']",2419
241,8193,Bronze,4326,538,2024-11-17,"['Basic Support', 'Birthday Reward']",11981
242,6908,Silver,269,2325,2024-09-16,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4852
243,4855,Silver,4831,1849,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7837
244,7194,Silver,4518,2170,2024-11-02,"['Priority Support', 'Free Shipping', 'Birthday Reward']",9542
245,6690,Silver,3133,730,2024-10-12,"['Priority Support', 'Free Shipping', 'Birthday Reward']",9093
246,9961,Gold,4053,2530,2024-10-11,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",11484
247,6596,Silver,1259,1743,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6112
248,2171,Silver,2642,122,2024-12-10,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4691
249,2774,Bronze,2974,706,2024-09-28,"['Basic Support', 'Birthday Reward']",5042
250,6847,Platinum,2489,1352,2024-10-31,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",7984
251,8076,Silver,2138,80,2024-12-12,"['Priority Support', 'Free Shipping', 'Birthday Reward']",10134
